Freq.	Gain	Phase
7.94328234724283e+00	-2.48240678670687e-06	-5.26334521181709e-02
1.00000000000000e+01	-3.93434903380627e-06	-6.62615847565268e-02
1.25892541179417e+01	-6.23552153704061e-06	-8.34183816514216e-02
1.58489319246112e+01	-9.88263195506633e-06	-1.05017498076267e-01
1.99526231496888e+01	-1.56629068678788e-05	-1.32209152326511e-01
2.51188643150958e+01	-2.48240112598678e-05	-1.66441372377990e-01
3.16227766016839e+01	-3.93433481500451e-05	-2.09537095368245e-01
3.98107170553498e+01	-6.23548581985123e-05	-2.63791219132518e-01
5.01187233627273e+01	-9.88254223970036e-05	-3.32092760980863e-01
6.30957344480195e+01	-1.56626815154682e-04	-4.18078602857471e-01
7.94328234724283e+01	-2.48234452055733e-04	-5.26326957984500e-01
1.00000000000000e+02	-3.93419263191032e-04	-6.62600757285845e-01
1.25892541179417e+02	-6.23512868494173e-04	-8.34153708343073e-01
1.58489319246112e+02	-9.88164520972776e-04	-1.05011490989248e+00
1.99526231496888e+02	-1.56604284835993e-03	-1.32197167506658e+00
2.51188643150959e+02	-2.48177866636974e-03	-1.66417462346587e+00
3.16227766016839e+02	-3.93277159644976e-03	-2.09489397523294e+00
3.98107170553498e+02	-6.23156050214585e-03	-2.63696077673299e+00
5.01187233627274e+02	-9.87268749774651e-03	-3.31903018075618e+00
6.30957344480195e+02	-1.56379482310919e-02	-4.17700297853536e+00
7.94328234724284e+02	-2.47614002460905e-02	-5.25573029553126e+00
1.00000000000000e+03	-3.91864025930635e-02	-6.61099274260385e+00
1.25892541179417e+03	-6.19619195835696e-02	-8.31166665657684e+00
1.58489319246112e+03	-9.78434952984486e-02	-1.04418258392098e+01
1.99526231496889e+03	-1.54180288502073e-01	-1.31022119639689e+01
2.51188643150959e+03	-2.42166685683118e-01	-1.64099549913533e+01
3.16227766016839e+03	-3.78475704721274e-01	-2.04945850515895e+01
3.98107170553499e+03	-5.87097823572691e-01	-2.54874210371483e+01
5.01187233627274e+03	-9.00793966826454e-01	-3.15011711525863e+01
6.30957344480195e+03	-1.36095912506021e+00	-3.85990044610735e+01
7.94328234724284e+03	-2.01432519587097e+00	-4.67598746215855e+01
1.00000000000000e+04	-2.90585128785913e+00	-5.58580879974202e+01
1.25892541179417e+04	-4.07004108677422e+00	-6.56785774755239e+01
1.58489319246112e+04	-5.52584152107737e+00	-7.59699212969070e+01
1.99526231496889e+04	-7.27897457048719e+00	-8.65029362102578e+01
2.51188643150959e+04	-9.32948911785229e+00	-9.70916688684365e+01
3.16227766016839e+04	-1.16775281830592e+01	-1.07565405236574e+02
3.98107170553499e+04	-1.43220086552961e+01	-1.17724497199141e+02
5.01187233627274e+04	-1.72534217324817e+01	-1.27327263637231e+02
6.30957344480196e+04	-2.04473982881494e+01	-1.36127360335006e+02
7.94328234724285e+04	-2.38650100886015e+01	-1.43935694386756e+02
1.00000000000000e+05	-2.74597122079577e+01	-1.50662562833559e+02
1.25892541179417e+05	-3.11859692999475e+01	-1.56319033604069e+02
1.58489319246112e+05	-3.50051402180567e+01	-1.60989077997401e+02
1.99526231496889e+05	-3.88875411459779e+01	-1.64794713252673e+02
2.51188643150959e+05	-4.28118695039704e+01	-1.67868391681336e+02
3.16227766016839e+05	-4.67635173901414e+01	-1.70336217943070e+02
3.98107170553499e+05	-5.07327623778977e+01	-1.72309962017713e+02
5.01187233627275e+05	-5.47132575863108e+01	-1.73884613109056e+02
6.30957344480196e+05	-5.87009108487284e+01	-1.75138866689166e+02
7.94328234724285e+05	-6.26931045502585e+01	-1.76136901436593e+02
1.00000000000000e+06	-6.66881727027255e+01	-1.76930546642949e+02
1.25892541179417e+06	-7.06850583611412e+01	-1.77561402478578e+02
1.58489319246112e+06	-7.46830923253544e+01	-1.78062730436414e+02
1.99526231496889e+06	-7.86818514345590e+01	-1.78461060427602e+02
2.51188643150959e+06	-8.26810683236435e+01	-1.78777520869173e+02
3.16227766016839e+06	-8.66805741496408e+01	-1.79028922250515e+02
3.98107170553499e+06	-9.06802623212729e+01	-1.79228631460955e+02
5.01187233627275e+06	-9.46800655606604e+01	-1.79387273140644e+02
6.30957344480196e+06	-9.86799414090405e+01	-1.79513290222218e+02
7.94328234724285e+06	-1.02679863073045e+02	-1.79613390910540e+02
1.00000000000001e+07	-1.06679813645729e+02	-1.79692904596898e+02
1.25892541179417e+07	-1.10679782458944e+02	-1.79756065005732e+02
1.58489319246112e+07	-1.14679762781311e+02	-1.79806235323672e+02
1.99526231496889e+07	-1.18679750365523e+02	-1.79846087134963e+02
2.00000000000000e+07	-1.18720950091632e+02	-1.79846451729399e+02
