Freq(Hz)	Mag_Ideal(dB)	Phase_Ideal(deg)	Mag_Real(dB)	Phase_Real(deg)
1.00000000000000e+03	-5.86431215577744e+00	9.18136365546652e+01	-5.51002323222523e+00	9.18895742454729e+01
1.25892541179417e+03	-7.86319076228116e+00	9.14362042661763e+01	-7.50880873748529e+00	9.14965358988926e+01
1.58489319246112e+03	-9.86246606061875e+00	9.11351840192063e+01	-9.50802595292673e+00	9.11831132199032e+01
1.99526231496889e+03	-1.18619817759616e+01	9.08945808331732e+01	-1.15075060934766e+01	9.09326553664420e+01
2.51188643150959e+03	-1.38616334362059e+01	9.07015994861830e+01	-1.35071370189162e+01	9.07318446331881e+01
3.16227766016839e+03	-1.58613458770722e+01	9.05459719355246e+01	-1.55068390935590e+01	9.05699971938139e+01
3.98107170553499e+03	-1.78610570406325e+01	9.04194149304401e+01	-1.75065480234508e+01	9.04384991466808e+01
5.01187233627274e+03	-1.98607045908678e+01	9.03151911236267e+01	-1.95062009906693e+01	9.03303503060843e+01
6.30957344480195e+03	-2.18602124670304e+01	9.02277514118242e+01	-2.15057231028831e+01	9.02397926896779e+01
7.94328234724284e+03	-2.38594744801953e+01	9.01524400186989e+01	-2.35050112413382e+01	9.01620045488881e+01
1.00000000000000e+04	-2.58583314253124e+01	9.00852469087270e+01	-2.55039118331655e+01	9.00928439777048e+01
1.25892541179417e+04	-2.78565367983692e+01	9.00225945212625e+01	-2.75021877779097e+01	9.00286286367717e+01
1.58489319246112e+04	-2.98537037928618e+01	8.99611476077150e+01	-2.94994674577695e+01	8.99659400086856e+01
1.99526231496889e+04	-3.18492223202606e+01	8.98976362201035e+01	-3.14951649964148e+01	8.99014419346005e+01
2.51188643150959e+04	-3.38421286077571e+01	8.98286827196895e+01	-3.34883549824029e+01	8.98317040553449e+01
3.16227766016839e+04	-3.58309003870004e+01	8.97506241492588e+01	-3.54775756867975e+01	8.97530212909936e+01
3.98107170553499e+04	-3.78131363599254e+01	8.96593215842072e+01	-3.74605209693580e+01	8.96612207807926e+01
5.01187233627274e+04	-3.97850579394186e+01	8.95499483791808e+01	-3.94335610015165e+01	8.95514479979143e+01
6.30957344480196e+04	-4.17407434264827e+01	8.94167499505893e+01	-4.13910047099775e+01	8.94179244338645e+01
7.94328234724285e+04	-4.36709724981488e+01	8.92527694822841e+01	-4.33239846605995e+01	8.92536709117046e+01
1.00000000000000e+05	-4.55615350184186e+01	8.90495373950405e+01	-4.52188194971391e+01	8.90501939443132e+01
1.25892541179417e+05	-4.73908800715169e+01	8.87967275376716e+01	-4.70547243430726e+01	8.87971376995825e+01
1.58489319246112e+05	-4.91271345683748e+01	8.84817864299615e+01	-4.88008761686765e+01	8.84819080913795e+01
1.99526231496889e+05	-5.07249608833061e+01	8.80895307862363e+01	-5.04132480995117e+01	8.80892664818875e+01
