Freq.	gain	phase
1.99526231496888e-02	-6.89689172215995e-03	-2.28296735139702e+00
2.04173794466953e-02	-7.22166211588559e-03	-2.33608624738270e+00
2.08929613085404e-02	-7.56171243825726e-03	-2.39043828149980e+00
2.13796208950223e-02	-7.91776030342132e-03	-2.44605188041033e+00
2.18776162394955e-02	-8.29055690445543e-03	-2.50295611177536e+00
2.23872113856834e-02	-8.68088857272268e-03	-2.56118069768401e+00
2.29086765276777e-02	-9.08957840849937e-03	-2.62075602828910e+00
2.34422881531992e-02	-9.51748798600601e-03	-2.68171317564679e+00
2.39883291901949e-02	-9.96551913615511e-03	-2.74408390775715e+00
2.45470891568503e-02	-1.04346158103633e-02	-2.80790070280158e+00
2.51188643150958e-02	-1.09257660290261e-02	-2.87319676357285e+00
2.57039578276886e-02	-1.14400039183145e-02	-2.94000603209238e+00
2.63026799189538e-02	-1.19784118391243e-02	-3.00836320440877e+00
2.69153480392691e-02	-1.25421226121507e-02	-3.07830374557073e+00
2.75422870333816e-02	-1.31323218432396e-02	-3.14986390476667e+00
2.81838293126445e-02	-1.37502503532723e-02	-3.22308073062207e+00
2.88403150312660e-02	-1.43972067170632e-02	-3.29799208664498e+00
2.95120922666638e-02	-1.50745499158618e-02	-3.37463666680842e+00
3.01995172040201e-02	-1.57837021082489e-02	-3.45305401125781e+00
3.09029543251359e-02	-1.65261515243665e-02	-3.53328452212954e+00
3.16227766016837e-02	-1.73034554886485e-02	-3.61536947946605e+00
3.23593656929628e-02	-1.81172435762873e-02	-3.69935105721075e+00
3.31131121482591e-02	-1.89692209089968e-02	-3.78527233926474e+00
3.38844156139202e-02	-1.98611715956713e-02	-3.87317733558559e+00
3.46736850452531e-02	-2.07949623238345e-02	-3.96311099830626e+00
3.54813389233575e-02	-2.17725461078947e-02	-4.05511923785056e+00
3.63078054770101e-02	-2.27959662004102e-02	-4.14924893901933e+00
3.71535229097172e-02	-2.38673601727943e-02	-4.24554797701906e+00
3.80189396320561e-02	-2.49889641720184e-02	-4.34406523340244e+00
3.89045144994280e-02	-2.61631173600990e-02	-4.44485061188758e+00
3.98107170553497e-02	-2.73922665432892e-02	-4.54795505401994e+00
4.07380277804112e-02	-2.86789709981023e-02	-4.65343055463804e+00
4.16869383470335e-02	-3.00259075014603e-02	-4.76133017710073e+00
4.26579518801592e-02	-3.14358755723886e-02	-4.87170806823066e+00
4.36515832240165e-02	-3.29118029328537e-02	-4.98461947292487e+00
