Freq.	gain	phase
4.36515832240165e-02	-3.29445895011425e-02	-4.98460060043493e+00
4.46683592150962e-02	-3.44910707271262e-02	-5.10010053333836e+00
4.57088189614874e-02	-3.61098453582348e-02	-5.21824772513379e+00
4.67735141287197e-02	-3.78042640370516e-02	-5.33910079175940e+00
4.78630092322637e-02	-3.95778299426153e-02	-5.46271950075580e+00
4.89778819368445e-02	-4.14342054711083e-02	-5.58916478330340e+00
5.01187233627271e-02	-4.33772191838630e-02	-5.71849874554204e+00
5.12861383991364e-02	-4.54108730309359e-02	-5.85078467909220e+00
5.24807460249771e-02	-4.75393498584918e-02	-5.98608707069082e+00
5.37031796370252e-02	-4.97670212081729e-02	-6.12447161084914e+00
5.49540873857623e-02	-5.20984554166129e-02	-6.26600520143368e+00
5.62341325190348e-02	-5.45384260230621e-02	-6.41075596206454e+00
5.75439937337156e-02	-5.70919204930123e-02	-6.55879323521875e+00
5.88843655355588e-02	-5.97641492654295e-02	-6.71018758991860e+00
6.02559586074356e-02	-6.25605551309915e-02	-6.86501082387754e+00
6.16595001861481e-02	-6.54868229483179e-02	-7.02333596396825e+00
6.30957344480192e-02	-6.85488897048638e-02	-7.18523726486885e+00
6.45654229034654e-02	-7.17529549285926e-02	-7.35079020573495e+00
6.60693448007594e-02	-7.51054914560144e-02	-7.52007148473575e+00
6.76082975391980e-02	-7.86132565614908e-02	-7.69315901128334e+00
6.91830970918935e-02	-8.22833034519788e-02	-7.87013189577445e+00
7.07945784384136e-02	-8.61229931304661e-02	-8.05107043665384e+00
7.24435960074988e-02	-9.01400066303986e-02	-8.23605610459829e+00
7.41310241300916e-02	-9.43423576222217e-02	-8.42517152360931e+00
7.58577575029182e-02	-9.87384053919683e-02	-8.61850044879208e+00
7.76247116628690e-02	-1.03336868190296e-01	-8.81612774058662e+00
7.94328234724279e-02	-1.08146836948900e-01	-9.01813933520629e+00
8.12830516164097e-02	-1.13177789359371e-01	-9.22462221102712e+00
8.31763771102669e-02	-1.18439604307672e-01	-9.43566435065982e+00
8.51138038202374e-02	-1.23942576655209e-01	-9.65135469842524e+00
8.70963589956078e-02	-1.29697432355129e-01	-9.87178311294209e+00
8.91250938133743e-02	-1.35715343889847e-01	-1.00970403145251e+01
9.12010839355907e-02	-1.42007946012951e-01	-1.03272178270801e+01
9.33254300796988e-02	-1.48587351775550e-01	-1.05624079141725e+01
9.54992586021433e-02	-1.55466168813710e-01	-1.08027035089357e+01
9.77237220955808e-02	-1.62657515870036e-01	-1.10481981374748e+01
9.99999999999997e-02	-1.70175039518362e-01	-1.12989858354159e+01
1.02329299228075e-01	-1.78032931056407e-01	-1.15551610572393e+01
1.04712854805090e-01	-1.86245943526541e-01	-1.18168185780324e+01
1.07151930523760e-01	-1.94829408819938e-01	-1.20840533872905e+01
1.09647819614318e-01	-2.03799254814179e-01	-1.23569605743918e+01
1.12201845430196e-01	-2.13172022488677e-01	-1.26356352053710e+01
1.14815362149688e-01	-2.22964882956527e-01	-1.29201721906164e+01
1.17489755493953e-01	-2.33195654344944e-01	-1.32106661431204e+01
1.20226443461741e-01	-2.43882818449986e-01	-1.35072112269159e+01
1.23026877081238e-01	-2.55045537084245e-01	-1.38099009953455e+01
1.25892541179416e-01	-2.66703668029012e-01	-1.41188282188190e+01
1.28824955169313e-01	-2.78877780494848e-01	-1.44340847017325e+01
1.31825673855640e-01	-2.91589169986710e-01	-1.47557610882465e+01
1.34896288259165e-01	-3.04859872461798e-01	-1.50839466566419e+01
1.38038426460288e-01	-3.18712677659994e-01	-1.54187291020070e+01
1.41253754462275e-01	-3.33171141478499e-01	-1.57601943070445e+01
1.44543977074592e-01	-3.48259597253789e-01	-1.61084261008302e+01
1.47910838816820e-01	-3.64003165805571e-01	-1.64635060054041e+01
1.51356124843620e-01	-3.80427764089091e-01	-1.68255129701310e+01
1.54881661891248e-01	-3.97560112293885e-01	-1.71945230938321e+01
1.58489319246111e-01	-4.15427739219164e-01	-1.75706093347588e+01
1.62181009735892e-01	-4.34058985748474e-01	-1.79538412085585e+01
1.65958690743755e-01	-4.53483006239212e-01	-1.83442844744736e+01
1.69824365246174e-01	-4.73729767636209e-01	-1.87420008101044e+01
1.73780082874937e-01	-4.94830046113075e-01	-1.91470474751771e+01
1.77827941003892e-01	-5.16815421040340e-01	-1.95594769648674e+01
1.81970085860998e-01	-5.39718266076131e-01	-1.99793366533534e+01
